State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Andhra Pradesh","East Godavari",Karapa,Paddy(Dhan)(Common),1001,FAQ,19/09/2024,2183,2200,2183
"Andhra Pradesh","East Godavari",Ravulapelem,Banana,Chakkarakeli(Red),Large,19/09/2024,2400,3200,2800
"Andhra Pradesh",Guntur,Tenali,Lemon,Lemon,FAQ,19/09/2024,4200,7100,5800
"Andhra Pradesh",Kurnool,Nandyal,Paddy(Dhan)(Common),"Sona Mahsuri",FAQ,19/09/2024,2290,2290,2290
Assam,Barpeta,"Barpeta Road","French Beans (Frasbean)","French Beans (Frasbean)",Local,19/09/2024,3800,4000,4000
Assam,Goalpara,Sonari,Lemon,Lemon,Local,19/09/2024,800.4,1000.5,867.1
Assam,"Karbi Anglong",Diphu,"Bhindi(Ladies Finger)",Bhindi,Local,19/09/2024,2800,3000,3000
Assam,Lakhimpur,"Kakoi Weekly Market","Bhindi(Ladies Finger)",Bhindi,Local,19/09/2024,2700,3000,3000
Assam,Lakhimpur,"Kakoi Weekly Market",Cabbage,Cabbage,Local,19/09/2024,1600,1800,1800
Assam,Lakhimpur,"Kakoi Weekly Market",Lemon,Lemon,Local,19/09/2024,800.4,900.45,900.45
Assam,Lakhimpur,"Kakoi Weekly Market",Pumpkin,Pumpkin,Local,19/09/2024,1600,1900,1900
Assam,Nalbari,Nalbari,Capsicum,Capsicum,Local,19/09/2024,2400,3400,2500
Assam,Nalbari,Nalbari,Lemon,Lemon,Local,19/09/2024,1667.5,1867.6,1734.2
Assam,Sibsagar,Sibsagar,Capsicum,Capsicum,Local,19/09/2024,3000,3500,3500
Bihar,Bhojpur,Piro,Onion,Medium,FAQ,19/09/2024,4400,4435,4420
Bihar,Kaithar,"Gerabari, Korha Block",Onion,Medium,FAQ,19/09/2024,4300,4500,4400
Bihar,Kishanganj,Bahadurganj,Potato,Jyoti,FAQ,19/09/2024,2400,2600,2500
Bihar,Rohtas,Natwar,Potato,Jyoti,FAQ,19/09/2024,2300,2600,2500
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),"Bottle gourd",Other,FAQ,19/09/2024,800,1500,1200
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Lemon,Other,FAQ,19/09/2024,4000,9000,6000
Chattisgarh,Dhamtari,Belargaon,Paddy(Dhan)(Common),"I.R. 36",FAQ,19/09/2024,1900,1900,1900
Chattisgarh,Dhamtari,Boraee,Paddy(Dhan)(Common),"I.R. 36",FAQ,19/09/2024,1950,1950,1950
Chattisgarh,Dhamtari,Gattasilli,Paddy(Dhan)(Common),"I.R. 36",FAQ,19/09/2024,1900,1900,1900
Chattisgarh,Rajnandgaon,Dongargaon,Paddy(Dhan)(Common),Common,FAQ,19/09/2024,2000,2000,2000
Chattisgarh,Rajnandgaon,Rajnandgaon,Onion,Onion,FAQ,19/09/2024,3000,4000,3500
Chattisgarh,Rajnandgaon,Rajnandgaon,Tomato,Local,FAQ,19/09/2024,2000,3000,2500
Gujarat,Amreli,Bagasara,Soyabean,Yellow,FAQ,19/09/2024,4055,4400,4227
Gujarat,Amreli,Damnagar,Cabbage,Cabbage,FAQ,19/09/2024,1650,2050,1800
Gujarat,Amreli,Damnagar,Coriander(Leaves),Coriander,FAQ,19/09/2024,11500,15500,13000
Gujarat,Amreli,Savarkundla,"Green Gram (Moong)(Whole)","Green (Whole)",FAQ,19/09/2024,4500,6000,5250
Gujarat,Anand,"Khambhat(Veg Yard Khambhat)",Banana,Amruthapani,Medium,19/09/2024,1000,1500,1250
Gujarat,Anand,"Khambhat(Veg Yard Khambhat)","Bhindi(Ladies Finger)",Other,FAQ,19/09/2024,1000,1800,1400
Gujarat,Banaskanth,"Deesa(Deesa Veg Yard)",Banana,Other,Medium,19/09/2024,2750,3150,2950
Gujarat,Banaskanth,"Deesa(Deesa Veg Yard)",Cucumbar(Kheera),Other,FAQ,19/09/2024,4500,5150,4825
Gujarat,Banaskanth,"Deesa(Deesa Veg Yard)",Ginger(Green),Other,FAQ,19/09/2024,4500,5600,5050
